Region, Date_x, Frequency_x, Estimated Unemployment Rate (%)_x, Estimated Employed_x, Estimated Labour Participation Rate (%)_x,Area, Date_y, Frequency_y, Estimated Unemployment Rate (%)_y, Estimated Employed_y, Estimated Labour Participation Rate (%)_y,Region.1,longitude,latitude
Andhra Pradesh, 30-06-2019, Monthly,3.05,11755881.0,42.05,Rural, 31-10-2020, M,6.59,15157557,37.34,South,15.9129,79.74
Andhra Pradesh, 31-07-2019, Monthly,3.75,12086707.0,43.5,Rural, 31-01-2020, M,5.48,16635535,41.02,South,15.9129,79.74
Andhra Pradesh, 31-07-2019, Monthly,3.75,12086707.0,43.5,Rural, 29-02-2020, M,5.83,16545652,40.9,South,15.9129,79.74
Andhra Pradesh, 31-07-2019, Monthly,3.75,12086707.0,43.5,Rural, 31-03-2020, M,5.79,15881197,39.18,South,15.9129,79.74
Andhra Pradesh, 31-07-2019, Monthly,3.75,12086707.0,43.5,Rural, 30-04-2020, M,20.51,11336911,33.1,South,15.9129,79.74
Andhra Pradesh, 31-07-2019, Monthly,3.75,12086707.0,43.5,Rural, 31-05-2020, M,17.43,12988845,36.46,South,15.9129,79.74
Andhra Pradesh, 31-07-2019, Monthly,3.75,12086707.0,43.5,Rural, 30-06-2020, M,3.31,19805400,47.41,South,15.9129,79.74
Andhra Pradesh, 31-07-2019, Monthly,3.75,12086707.0,43.5,Rural, 31-07-2020, M,8.34,15431615,38.91,South,15.9129,79.74
Andhra Pradesh, 31-07-2019, Monthly,3.75,12086707.0,43.5,Rural, 31-08-2020, M,6.96,15251776,37.83,South,15.9129,79.74
Andhra Pradesh, 31-07-2019, Monthly,3.75,12086707.0,43.5,Rural, 30-09-2020, M,6.4,15220312,37.47,South,15.9129,79.74
Andhra Pradesh, 31-07-2019, Monthly,3.75,12086707.0,43.5,Rural, 31-10-2020, M,6.59,15157557,37.34,South,15.9129,79.74
Andhra Pradesh, 31-08-2019, Monthly,3.32,12285693.0,43.97,Rural, 31-01-2020, M,5.48,16635535,41.02,South,15.9129,79.74
Andhra Pradesh, 31-08-2019, Monthly,3.32,12285693.0,43.97,Rural, 29-02-2020, M,5.83,16545652,40.9,South,15.9129,79.74
Andhra Pradesh, 31-08-2019, Monthly,3.32,12285693.0,43.97,Rural, 31-03-2020, M,5.79,15881197,39.18,South,15.9129,79.74
Andhra Pradesh, 31-08-2019, Monthly,3.32,12285693.0,43.97,Rural, 30-04-2020, M,20.51,11336911,33.1,South,15.9129,79.74
Andhra Pradesh, 31-08-2019, Monthly,3.32,12285693.0,43.97,Rural, 31-05-2020, M,17.43,12988845,36.46,South,15.9129,79.74
Andhra Pradesh, 31-08-2019, Monthly,3.32,12285693.0,43.97,Rural, 30-06-2020, M,3.31,19805400,47.41,South,15.9129,79.74
Andhra Pradesh, 31-08-2019, Monthly,3.32,12285693.0,43.97,Rural, 31-07-2020, M,8.34,15431615,38.91,South,15.9129,79.74
Andhra Pradesh, 31-08-2019, Monthly,3.32,12285693.0,43.97,Rural, 31-08-2020, M,6.96,15251776,37.83,South,15.9129,79.74
Andhra Pradesh, 31-08-2019, Monthly,3.32,12285693.0,43.97,Rural, 30-09-2020, M,6.4,15220312,37.47,South,15.9129,79.74
Andhra Pradesh, 31-08-2019, Monthly,3.32,12285693.0,43.97,Rural, 31-10-2020, M,6.59,15157557,37.34,South,15.9129,79.74
Andhra Pradesh, 30-09-2019, Monthly,5.17,12256762.0,44.68,Rural, 31-01-2020, M,5.48,16635535,41.02,South,15.9129,79.74
Andhra Pradesh, 30-09-2019, Monthly,5.17,12256762.0,44.68,Rural, 29-02-2020, M,5.83,16545652,40.9,South,15.9129,79.74
Andhra Pradesh, 30-09-2019, Monthly,5.17,12256762.0,44.68,Rural, 31-03-2020, M,5.79,15881197,39.18,South,15.9129,79.74
Andhra Pradesh, 30-09-2019, Monthly,5.17,12256762.0,44.68,Rural, 30-04-2020, M,20.51,11336911,33.1,South,15.9129,79.74
Andhra Pradesh, 30-09-2019, Monthly,5.17,12256762.0,44.68,Rural, 31-05-2020, M,17.43,12988845,36.46,South,15.9129,79.74
Andhra Pradesh, 30-09-2019, Monthly,5.17,12256762.0,44.68,Rural, 30-06-2020, M,3.31,19805400,47.41,South,15.9129,79.74
Andhra Pradesh, 30-09-2019, Monthly,5.17,12256762.0,44.68,Rural, 31-07-2020, M,8.34,15431615,38.91,South,15.9129,79.74
Andhra Pradesh, 30-09-2019, Monthly,5.17,12256762.0,44.68,Rural, 31-08-2020, M,6.96,15251776,37.83,South,15.9129,79.74
Andhra Pradesh, 30-09-2019, Monthly,5.17,12256762.0,44.68,Rural, 30-09-2020, M,6.4,15220312,37.47,South,15.9129,79.74
Andhra Pradesh, 30-09-2019, Monthly,5.17,12256762.0,44.68,Rural, 31-10-2020, M,6.59,15157557,37.34,South,15.9129,79.74
Andhra Pradesh, 31-10-2019, Monthly,3.52,12017412.0,43.01,Rural, 31-01-2020, M,5.48,16635535,41.02,South,15.9129,79.74
Andhra Pradesh, 31-10-2019, Monthly,3.52,12017412.0,43.01,Rural, 29-02-2020, M,5.83,16545652,40.9,South,15.9129,79.74
Andhra Pradesh, 31-10-2019, Monthly,3.52,12017412.0,43.01,Rural, 31-03-2020, M,5.79,15881197,39.18,South,15.9129,79.74
Andhra Pradesh, 31-10-2019, Monthly,3.52,12017412.0,43.01,Rural, 30-04-2020, M,20.51,11336911,33.1,South,15.9129,79.74
Andhra Pradesh, 31-10-2019, Monthly,3.52,12017412.0,43.01,Rural, 31-05-2020, M,17.43,12988845,36.46,South,15.9129,79.74
Andhra Pradesh, 31-10-2019, Monthly,3.52,12017412.0,43.01,Rural, 30-06-2020, M,3.31,19805400,47.41,South,15.9129,79.74
Andhra Pradesh, 31-10-2019, Monthly,3.52,12017412.0,43.01,Rural, 31-07-2020, M,8.34,15431615,38.91,South,15.9129,79.74
Andhra Pradesh, 31-10-2019, Monthly,3.52,12017412.0,43.01,Rural, 31-08-2020, M,6.96,15251776,37.83,South,15.9129,79.74
Andhra Pradesh, 31-10-2019, Monthly,3.52,12017412.0,43.01,Rural, 30-09-2020, M,6.4,15220312,37.47,South,15.9129,79.74
Andhra Pradesh, 31-10-2019, Monthly,3.52,12017412.0,43.01,Rural, 31-10-2020, M,6.59,15157557,37.34,South,15.9129,79.74
Andhra Pradesh, 30-11-2019, Monthly,4.12,11397681.0,41.0,Rural, 31-01-2020, M,5.48,16635535,41.02,South,15.9129,79.74
Andhra Pradesh, 30-11-2019, Monthly,4.12,11397681.0,41.0,Rural, 29-02-2020, M,5.83,16545652,40.9,South,15.9129,79.74
Andhra Pradesh, 30-11-2019, Monthly,4.12,11397681.0,41.0,Rural, 31-03-2020, M,5.79,15881197,39.18,South,15.9129,79.74
Andhra Pradesh, 30-11-2019, Monthly,4.12,11397681.0,41.0,Rural, 30-04-2020, M,20.51,11336911,33.1,South,15.9129,79.74
Andhra Pradesh, 30-11-2019, Monthly,4.12,11397681.0,41.0,Rural, 31-05-2020, M,17.43,12988845,36.46,South,15.9129,79.74
Andhra Pradesh, 30-11-2019, Monthly,4.12,11397681.0,41.0,Rural, 30-06-2020, M,3.31,19805400,47.41,South,15.9129,79.74
Andhra Pradesh, 30-11-2019, Monthly,4.12,11397681.0,41.0,Rural, 31-07-2020, M,8.34,15431615,38.91,South,15.9129,79.74
Andhra Pradesh, 30-11-2019, Monthly,4.12,11397681.0,41.0,Rural, 31-08-2020, M,6.96,15251776,37.83,South,15.9129,79.74
Andhra Pradesh, 30-11-2019, Monthly,4.12,11397681.0,41.0,Rural, 30-09-2020, M,6.4,15220312,37.47,South,15.9129,79.74
Andhra Pradesh, 30-11-2019, Monthly,4.12,11397681.0,41.0,Rural, 31-10-2020, M,6.59,15157557,37.34,South,15.9129,79.74
Andhra Pradesh, 31-12-2019, Monthly,4.38,12528395.0,45.14,Rural, 31-01-2020, M,5.48,16635535,41.02,South,15.9129,79.74
Andhra Pradesh, 31-12-2019, Monthly,4.38,12528395.0,45.14,Rural, 29-02-2020, M,5.83,16545652,40.9,South,15.9129,79.74
Andhra Pradesh, 31-12-2019, Monthly,4.38,12528395.0,45.14,Rural, 31-03-2020, M,5.79,15881197,39.18,South,15.9129,79.74
Andhra Pradesh, 31-12-2019, Monthly,4.38,12528395.0,45.14,Rural, 30-04-2020, M,20.51,11336911,33.1,South,15.9129,79.74
Andhra Pradesh, 31-12-2019, Monthly,4.38,12528395.0,45.14,Rural, 31-05-2020, M,17.43,12988845,36.46,South,15.9129,79.74
Andhra Pradesh, 31-12-2019, Monthly,4.38,12528395.0,45.14,Rural, 30-06-2020, M,3.31,19805400,47.41,South,15.9129,79.74
Andhra Pradesh, 31-12-2019, Monthly,4.38,12528395.0,45.14,Rural, 31-07-2020, M,8.34,15431615,38.91,South,15.9129,79.74
Andhra Pradesh, 31-12-2019, Monthly,4.38,12528395.0,45.14,Rural, 31-08-2020, M,6.96,15251776,37.83,South,15.9129,79.74
Andhra Pradesh, 31-12-2019, Monthly,4.38,12528395.0,45.14,Rural, 30-09-2020, M,6.4,15220312,37.47,South,15.9129,79.74
Andhra Pradesh, 31-12-2019, Monthly,4.38,12528395.0,45.14,Rural, 31-10-2020, M,6.59,15157557,37.34,South,15.9129,79.74
Andhra Pradesh, 31-01-2020, Monthly,4.84,12016676.0,43.46,Rural, 31-01-2020, M,5.48,16635535,41.02,South,15.9129,79.74
Andhra Pradesh, 31-01-2020, Monthly,4.84,12016676.0,43.46,Rural, 29-02-2020, M,5.83,16545652,40.9,South,15.9129,79.74
Andhra Pradesh, 31-01-2020, Monthly,4.84,12016676.0,43.46,Rural, 31-03-2020, M,5.79,15881197,39.18,South,15.9129,79.74
Andhra Pradesh, 31-01-2020, Monthly,4.84,12016676.0,43.46,Rural, 30-04-2020, M,20.51,11336911,33.1,South,15.9129,79.74
Andhra Pradesh, 31-01-2020, Monthly,4.84,12016676.0,43.46,Rural, 31-05-2020, M,17.43,12988845,36.46,South,15.9129,79.74
Andhra Pradesh, 31-01-2020, Monthly,4.84,12016676.0,43.46,Rural, 30-06-2020, M,3.31,19805400,47.41,South,15.9129,79.74
Andhra Pradesh, 31-01-2020, Monthly,4.84,12016676.0,43.46,Rural, 31-07-2020, M,8.34,15431615,38.91,South,15.9129,79.74
Andhra Pradesh, 31-01-2020, Monthly,4.84,12016676.0,43.46,Rural, 31-08-2020, M,6.96,15251776,37.83,South,15.9129,79.74
Andhra Pradesh, 31-01-2020, Monthly,4.84,12016676.0,43.46,Rural, 30-09-2020, M,6.4,15220312,37.47,South,15.9129,79.74
Andhra Pradesh, 31-01-2020, Monthly,4.84,12016676.0,43.46,Rural, 31-10-2020, M,6.59,15157557,37.34,South,15.9129,79.74
Andhra Pradesh, 29-02-2020, Monthly,5.91,11723617.0,42.83,Rural, 31-01-2020, M,5.48,16635535,41.02,South,15.9129,79.74
Andhra Pradesh, 29-02-2020, Monthly,5.91,11723617.0,42.83,Rural, 29-02-2020, M,5.83,16545652,40.9,South,15.9129,79.74
Andhra Pradesh, 29-02-2020, Monthly,5.91,11723617.0,42.83,Rural, 31-03-2020, M,5.79,15881197,39.18,South,15.9129,79.74
Andhra Pradesh, 29-02-2020, Monthly,5.91,11723617.0,42.83,Rural, 30-04-2020, M,20.51,11336911,33.1,South,15.9129,79.74
Andhra Pradesh, 29-02-2020, Monthly,5.91,11723617.0,42.83,Rural, 31-05-2020, M,17.43,12988845,36.46,South,15.9129,79.74
Andhra Pradesh, 29-02-2020, Monthly,5.91,11723617.0,42.83,Rural, 30-06-2020, M,3.31,19805400,47.41,South,15.9129,79.74
Andhra Pradesh, 29-02-2020, Monthly,5.91,11723617.0,42.83,Rural, 31-07-2020, M,8.34,15431615,38.91,South,15.9129,79.74
Andhra Pradesh, 29-02-2020, Monthly,5.91,11723617.0,42.83,Rural, 31-08-2020, M,6.96,15251776,37.83,South,15.9129,79.74
Andhra Pradesh, 29-02-2020, Monthly,5.91,11723617.0,42.83,Rural, 30-09-2020, M,6.4,15220312,37.47,South,15.9129,79.74
Andhra Pradesh, 29-02-2020, Monthly,5.91,11723617.0,42.83,Rural, 31-10-2020, M,6.59,15157557,37.34,South,15.9129,79.74
Andhra Pradesh, 31-03-2020, Monthly,4.06,11359660.0,40.66,Rural, 31-01-2020, M,5.48,16635535,41.02,South,15.9129,79.74
Andhra Pradesh, 31-03-2020, Monthly,4.06,11359660.0,40.66,Rural, 29-02-2020, M,5.83,16545652,40.9,South,15.9129,79.74
Andhra Pradesh, 31-03-2020, Monthly,4.06,11359660.0,40.66,Rural, 31-03-2020, M,5.79,15881197,39.18,South,15.9129,79.74
Andhra Pradesh, 31-03-2020, Monthly,4.06,11359660.0,40.66,Rural, 30-04-2020, M,20.51,11336911,33.1,South,15.9129,79.74
Andhra Pradesh, 31-03-2020, Monthly,4.06,11359660.0,40.66,Rural, 31-05-2020, M,17.43,12988845,36.46,South,15.9129,79.74
Andhra Pradesh, 31-03-2020, Monthly,4.06,11359660.0,40.66,Rural, 30-06-2020, M,3.31,19805400,47.41,South,15.9129,79.74
Andhra Pradesh, 31-03-2020, Monthly,4.06,11359660.0,40.66,Rural, 31-07-2020, M,8.34,15431615,38.91,South,15.9129,79.74
Andhra Pradesh, 31-03-2020, Monthly,4.06,11359660.0,40.66,Rural, 31-08-2020, M,6.96,15251776,37.83,South,15.9129,79.74
Andhra Pradesh, 31-03-2020, Monthly,4.06,11359660.0,40.66,Rural, 30-09-2020, M,6.4,15220312,37.47,South,15.9129,79.74
Andhra Pradesh, 31-03-2020, Monthly,4.06,11359660.0,40.66,Rural, 31-10-2020, M,6.59,15157557,37.34,South,15.9129,79.74
Andhra Pradesh, 30-04-2020, Monthly,16.29,8792827.0,36.03,Rural, 31-01-2020, M,5.48,16635535,41.02,South,15.9129,79.74
Andhra Pradesh, 30-04-2020, Monthly,16.29,8792827.0,36.03,Rural, 29-02-2020, M,5.83,16545652,40.9,South,15.9129,79.74
Andhra Pradesh, 30-04-2020, Monthly,16.29,8792827.0,36.03,Rural, 31-03-2020, M,5.79,15881197,39.18,South,15.9129,79.74
Andhra Pradesh, 30-04-2020, Monthly,16.29,8792827.0,36.03,Rural, 30-04-2020, M,20.51,11336911,33.1,South,15.9129,79.74
Andhra Pradesh, 30-04-2020, Monthly,16.29,8792827.0,36.03,Rural, 31-05-2020, M,17.43,12988845,36.46,South,15.9129,79.74
Andhra Pradesh, 30-04-2020, Monthly,16.29,8792827.0,36.03,Rural, 30-06-2020, M,3.31,19805400,47.41,South,15.9129,79.74
Andhra Pradesh, 30-04-2020, Monthly,16.29,8792827.0,36.03,Rural, 31-07-2020, M,8.34,15431615,38.91,South,15.9129,79.74
Andhra Pradesh, 30-04-2020, Monthly,16.29,8792827.0,36.03,Rural, 31-08-2020, M,6.96,15251776,37.83,South,15.9129,79.74
Andhra Pradesh, 30-04-2020, Monthly,16.29,8792827.0,36.03,Rural, 30-09-2020, M,6.4,15220312,37.47,South,15.9129,79.74
Andhra Pradesh, 30-04-2020, Monthly,16.29,8792827.0,36.03,Rural, 31-10-2020, M,6.59,15157557,37.34,South,15.9129,79.74
Andhra Pradesh, 31-05-2020, Monthly,14.46,9526902.0,38.16,Rural, 31-01-2020, M,5.48,16635535,41.02,South,15.9129,79.74
Andhra Pradesh, 31-05-2020, Monthly,14.46,9526902.0,38.16,Rural, 29-02-2020, M,5.83,16545652,40.9,South,15.9129,79.74
Andhra Pradesh, 31-05-2020, Monthly,14.46,9526902.0,38.16,Rural, 31-03-2020, M,5.79,15881197,39.18,South,15.9129,79.74
Andhra Pradesh, 31-05-2020, Monthly,14.46,9526902.0,38.16,Rural, 30-04-2020, M,20.51,11336911,33.1,South,15.9129,79.74
Andhra Pradesh, 31-05-2020, Monthly,14.46,9526902.0,38.16,Rural, 31-05-2020, M,17.43,12988845,36.46,South,15.9129,79.74
Andhra Pradesh, 31-05-2020, Monthly,14.46,9526902.0,38.16,Rural, 30-06-2020, M,3.31,19805400,47.41,South,15.9129,79.74
Andhra Pradesh, 31-05-2020, Monthly,14.46,9526902.0,38.16,Rural, 31-07-2020, M,8.34,15431615,38.91,South,15.9129,79.74
Andhra Pradesh, 31-05-2020, Monthly,14.46,9526902.0,38.16,Rural, 31-08-2020, M,6.96,15251776,37.83,South,15.9129,79.74
Andhra Pradesh, 31-05-2020, Monthly,14.46,9526902.0,38.16,Rural, 30-09-2020, M,6.4,15220312,37.47,South,15.9129,79.74
Andhra Pradesh, 31-05-2020, Monthly,14.46,9526902.0,38.16,Rural, 31-10-2020, M,6.59,15157557,37.34,South,15.9129,79.74
Andhra Pradesh, 30-06-2020, Monthly,0.85,15572975.0,53.76,Rural, 31-01-2020, M,5.48,16635535,41.02,South,15.9129,79.74
Andhra Pradesh, 30-06-2020, Monthly,0.85,15572975.0,53.76,Rural, 29-02-2020, M,5.83,16545652,40.9,South,15.9129,79.74
Andhra Pradesh, 30-06-2020, Monthly,0.85,15572975.0,53.76,Rural, 31-03-2020, M,5.79,15881197,39.18,South,15.9129,79.74
Andhra Pradesh, 30-06-2020, Monthly,0.85,15572975.0,53.76,Rural, 30-04-2020, M,20.51,11336911,33.1,South,15.9129,79.74
Andhra Pradesh, 30-06-2020, Monthly,0.85,15572975.0,53.76,Rural, 31-05-2020, M,17.43,12988845,36.46,South,15.9129,79.74
Andhra Pradesh, 30-06-2020, Monthly,0.85,15572975.0,53.76,Rural, 30-06-2020, M,3.31,19805400,47.41,South,15.9129,79.74
Andhra Pradesh, 30-06-2020, Monthly,0.85,15572975.0,53.76,Rural, 31-07-2020, M,8.34,15431615,38.91,South,15.9129,79.74
Andhra Pradesh, 30-06-2020, Monthly,0.85,15572975.0,53.76,Rural, 31-08-2020, M,6.96,15251776,37.83,South,15.9129,79.74
Andhra Pradesh, 30-06-2020, Monthly,0.85,15572975.0,53.76,Rural, 30-09-2020, M,6.4,15220312,37.47,South,15.9129,79.74
Andhra Pradesh, 30-06-2020, Monthly,0.85,15572975.0,53.76,Rural, 31-10-2020, M,6.59,15157557,37.34,South,15.9129,79.74
Assam, 31-05-2019, Monthly,4.29,11749334.0,57.39,Rural, 31-01-2020, M,4.66,13051904,52.98,Northeast,26.2006,92.9376
Assam, 31-05-2019, Monthly,4.29,11749334.0,57.39,Rural, 29-02-2020, M,4.41,10088268,40.77,Northeast,26.2006,92.9376
Assam, 31-05-2019, Monthly,4.29,11749334.0,57.39,Rural, 31-03-2020, M,4.77,11542888,46.73,Northeast,26.2006,92.9376
Assam, 31-05-2019, Monthly,4.29,11749334.0,57.39,Rural, 30-04-2020, M,11.06,6830817,29.55,Northeast,26.2006,92.9376
Assam, 31-05-2019, Monthly,4.29,11749334.0,57.39,Rural, 31-05-2020, M,9.55,11367897,48.26,Northeast,26.2006,92.9376
Assam, 31-05-2019, Monthly,4.29,11749334.0,57.39,Rural, 30-06-2020, M,0.6,9095944,35.07,Northeast,26.2006,92.9376
Assam, 31-05-2019, Monthly,4.29,11749334.0,57.39,Rural, 31-07-2020, M,3.77,10286757,40.88,Northeast,26.2006,92.9376
Assam, 31-05-2019, Monthly,4.29,11749334.0,57.39,Rural, 31-08-2020, M,5.53,9781310,39.52,Northeast,26.2006,92.9376
Assam, 31-05-2019, Monthly,4.29,11749334.0,57.39,Rural, 30-09-2020, M,1.19,14107641,54.38,Northeast,26.2006,92.9376
Assam, 31-05-2019, Monthly,4.29,11749334.0,57.39,Rural, 31-10-2020, M,3.02,11949329,46.84,Northeast,26.2006,92.9376
Assam, 30-06-2019, Monthly,5.08,8923222.0,43.87,Rural, 31-01-2020, M,4.66,13051904,52.98,Northeast,26.2006,92.9376
Assam, 30-06-2019, Monthly,5.08,8923222.0,43.87,Rural, 29-02-2020, M,4.41,10088268,40.77,Northeast,26.2006,92.9376
Assam, 30-06-2019, Monthly,5.08,8923222.0,43.87,Rural, 31-03-2020, M,4.77,11542888,46.73,Northeast,26.2006,92.9376
Assam, 30-06-2019, Monthly,5.08,8923222.0,43.87,Rural, 30-04-2020, M,11.06,6830817,29.55,Northeast,26.2006,92.9376
Assam, 30-06-2019, Monthly,5.08,8923222.0,43.87,Rural, 31-05-2020, M,9.55,11367897,48.26,Northeast,26.2006,92.9376
Assam, 30-06-2019, Monthly,5.08,8923222.0,43.87,Rural, 30-06-2020, M,0.6,9095944,35.07,Northeast,26.2006,92.9376
Assam, 30-06-2019, Monthly,5.08,8923222.0,43.87,Rural, 31-07-2020, M,3.77,10286757,40.88,Northeast,26.2006,92.9376
Assam, 30-06-2019, Monthly,5.08,8923222.0,43.87,Rural, 31-08-2020, M,5.53,9781310,39.52,Northeast,26.2006,92.9376
Assam, 30-06-2019, Monthly,5.08,8923222.0,43.87,Rural, 30-09-2020, M,1.19,14107641,54.38,Northeast,26.2006,92.9376
Assam, 30-06-2019, Monthly,5.08,8923222.0,43.87,Rural, 31-10-2020, M,3.02,11949329,46.84,Northeast,26.2006,92.9376
Assam, 31-07-2019, Monthly,4.26,9911534.0,48.21,Rural, 31-01-2020, M,4.66,13051904,52.98,Northeast,26.2006,92.9376
Assam, 31-07-2019, Monthly,4.26,9911534.0,48.21,Rural, 29-02-2020, M,4.41,10088268,40.77,Northeast,26.2006,92.9376
Assam, 31-07-2019, Monthly,4.26,9911534.0,48.21,Rural, 31-03-2020, M,4.77,11542888,46.73,Northeast,26.2006,92.9376
Assam, 31-07-2019, Monthly,4.26,9911534.0,48.21,Rural, 30-04-2020, M,11.06,6830817,29.55,Northeast,26.2006,92.9376
Assam, 31-07-2019, Monthly,4.26,9911534.0,48.21,Rural, 31-05-2020, M,9.55,11367897,48.26,Northeast,26.2006,92.9376
Assam, 31-07-2019, Monthly,4.26,9911534.0,48.21,Rural, 30-06-2020, M,0.6,9095944,35.07,Northeast,26.2006,92.9376
Assam, 31-07-2019, Monthly,4.26,9911534.0,48.21,Rural, 31-07-2020, M,3.77,10286757,40.88,Northeast,26.2006,92.9376
Assam, 31-07-2019, Monthly,4.26,9911534.0,48.21,Rural, 31-08-2020, M,5.53,9781310,39.52,Northeast,26.2006,92.9376
Assam, 31-07-2019, Monthly,4.26,9911534.0,48.21,Rural, 30-09-2020, M,1.19,14107641,54.38,Northeast,26.2006,92.9376
Assam, 31-07-2019, Monthly,4.26,9911534.0,48.21,Rural, 31-10-2020, M,3.02,11949329,46.84,Northeast,26.2006,92.9376
Assam, 31-08-2019, Monthly,5.79,9292039.0,45.83,Rural, 31-01-2020, M,4.66,13051904,52.98,Northeast,26.2006,92.9376
Assam, 31-08-2019, Monthly,5.79,9292039.0,45.83,Rural, 29-02-2020, M,4.41,10088268,40.77,Northeast,26.2006,92.9376
Assam, 31-08-2019, Monthly,5.79,9292039.0,45.83,Rural, 31-03-2020, M,4.77,11542888,46.73,Northeast,26.2006,92.9376
Assam, 31-08-2019, Monthly,5.79,9292039.0,45.83,Rural, 30-04-2020, M,11.06,6830817,29.55,Northeast,26.2006,92.9376
Assam, 31-08-2019, Monthly,5.79,9292039.0,45.83,Rural, 31-05-2020, M,9.55,11367897,48.26,Northeast,26.2006,92.9376
Assam, 31-08-2019, Monthly,5.79,9292039.0,45.83,Rural, 30-06-2020, M,0.6,9095944,35.07,Northeast,26.2006,92.9376
Assam, 31-08-2019, Monthly,5.79,9292039.0,45.83,Rural, 31-07-2020, M,3.77,10286757,40.88,Northeast,26.2006,92.9376
Assam, 31-08-2019, Monthly,5.79,9292039.0,45.83,Rural, 31-08-2020, M,5.53,9781310,39.52,Northeast,26.2006,92.9376
Assam, 31-08-2019, Monthly,5.79,9292039.0,45.83,Rural, 30-09-2020, M,1.19,14107641,54.38,Northeast,26.2006,92.9376
Assam, 31-08-2019, Monthly,5.79,9292039.0,45.83,Rural, 31-10-2020, M,3.02,11949329,46.84,Northeast,26.2006,92.9376
Assam, 30-09-2019, Monthly,4.46,11468349.0,55.67,Rural, 31-01-2020, M,4.66,13051904,52.98,Northeast,26.2006,92.9376
Assam, 30-09-2019, Monthly,4.46,11468349.0,55.67,Rural, 29-02-2020, M,4.41,10088268,40.77,Northeast,26.2006,92.9376
Assam, 30-09-2019, Monthly,4.46,11468349.0,55.67,Rural, 31-03-2020, M,4.77,11542888,46.73,Northeast,26.2006,92.9376
Assam, 30-09-2019, Monthly,4.46,11468349.0,55.67,Rural, 30-04-2020, M,11.06,6830817,29.55,Northeast,26.2006,92.9376
Assam, 30-09-2019, Monthly,4.46,11468349.0,55.67,Rural, 31-05-2020, M,9.55,11367897,48.26,Northeast,26.2006,92.9376
Assam, 30-09-2019, Monthly,4.46,11468349.0,55.67,Rural, 30-06-2020, M,0.6,9095944,35.07,Northeast,26.2006,92.9376
